customers,y
unemployed married primary no no cellular unknown,no
services married secondary yes yes cellular failure,no
management single tertiary yes no cellular failure,no
management married tertiary yes yes unknown unknown,no
blue-collar married secondary yes no unknown unknown,no
management single tertiary no no cellular failure,no
self-employed married tertiary yes no cellular other,no
technician married secondary yes no cellular unknown,no
entrepreneur married tertiary yes no unknown unknown,no
services married primary yes yes cellular failure,no
services married secondary yes no unknown unknown,no
admin. married secondary yes no cellular unknown,no
technician married tertiary no no cellular unknown,no
student single secondary no no cellular unknown,yes
blue-collar married secondary yes yes cellular failure,no
management married tertiary no yes cellular unknown,no
technician married secondary no no cellular unknown,no
admin. single tertiary yes no cellular failure,no
blue-collar single primary yes no unknown unknown,no
services married secondary no no cellular other,no
management divorced unknown yes no cellular unknown,no
management divorced tertiary no no cellular unknown,no
services single secondary no no unknown unknown,no
entrepreneur married secondary no no cellular unknown,no
housemaid married tertiary no no cellular unknown,no
management married tertiary no no cellular unknown,no
blue-collar married primary yes no unknown unknown,no
retired married unknown no no telephone failure,no
self-employed married secondary no yes cellular unknown,no
admin. married secondary no yes cellular unknown,no
retired divorced secondary no no telephone unknown,yes
technician married secondary no no cellular unknown,no
management married secondary no no cellular unknown,no
management single tertiary yes no cellular unknown,yes
technician married tertiary no no cellular unknown,yes
admin. divorced secondary yes no unknown unknown,no
retired divorced primary no no telephone unknown,yes
blue-collar married secondary yes no cellular unknown,yes
management married secondary yes no cellular failure,yes
services single tertiary yes no unknown unknown,no
management single tertiary yes no unknown failure,no
management single tertiary no no cellular unknown,no
blue-collar married secondary yes no cellular unknown,no
technician married tertiary yes no cellular unknown,no
technician single tertiary yes no cellular unknown,no
management single tertiary yes no unknown unknown,no
blue-collar married primary no no telephone other,no
blue-collar married primary yes no unknown unknown,no
entrepreneur single primary yes yes cellular unknown,no
admin. married unknown yes no cellular success,yes
blue-collar divorced primary no no unknown unknown,yes
technician single secondary yes no cellular unknown,no
technician single secondary no no cellular unknown,no
technician married tertiary yes no cellular other,yes
blue-collar married secondary yes no cellular unknown,no
admin. married secondary yes no telephone unknown,no
management married secondary no yes telephone unknown,no
self-employed single tertiary no no cellular unknown,no
retired single secondary yes yes unknown unknown,no
technician divorced secondary yes yes unknown unknown,no
blue-collar married primary no yes telephone unknown,no
retired married secondary yes no cellular unknown,no
management married tertiary no no cellular unknown,no
services married secondary no no cellular unknown,no
admin. married secondary no no cellular unknown,no
blue-collar divorced secondary yes no cellular failure,no
services married secondary yes no cellular unknown,no
technician married secondary yes no cellular unknown,no
management married secondary no yes cellular unknown,no
technician single tertiary no no cellular unknown,no
management married tertiary no no cellular success,yes
entrepreneur divorced tertiary yes no unknown unknown,no
management single tertiary yes no unknown unknown,no
services married tertiary yes no unknown unknown,no
retired married secondary yes no unknown unknown,no
management divorced tertiary no no cellular unknown,no
blue-collar divorced secondary yes no cellular other,no
technician single secondary no yes cellular unknown,no
blue-collar divorced primary no no cellular unknown,no
unemployed married secondary yes no cellular failure,no
admin. divorced secondary yes no cellular unknown,yes
retired married primary no no cellular unknown,no
admin. single secondary yes yes cellular unknown,no
services married secondary no no telephone failure,yes
management married tertiary no no cellular unknown,yes
blue-collar married primary yes no unknown unknown,no
technician single secondary no yes cellular unknown,no
blue-collar single primary yes no unknown unknown,no
admin. married secondary yes no cellular unknown,no
blue-collar married secondary yes no unknown unknown,no
blue-collar married primary no no cellular unknown,no
blue-collar married primary yes no unknown unknown,no
services single secondary yes no cellular unknown,yes
management single tertiary no no cellular unknown,no
blue-collar married secondary no no cellular unknown,no
unknown single tertiary no no cellular unknown,no
admin. married tertiary yes no unknown unknown,no
admin. single tertiary no no cellular failure,no
blue-collar divorced secondary no no cellular success,no
unemployed single primary no no cellular unknown,yes
blue-collar married secondary yes no unknown unknown,no
management single tertiary yes no cellular failure,no
technician married secondary no no telephone unknown,no
services single primary yes no telephone unknown,no
management single secondary no no unknown unknown,no
management single tertiary yes no cellular failure,no
blue-collar married secondary yes yes unknown unknown,no
self-employed married tertiary yes no cellular unknown,no
unemployed married primary no no cellular unknown,yes
housemaid married primary yes no cellular unknown,no
student single secondary no no cellular success,yes
management married tertiary yes no telephone unknown,no
self-employed married secondary yes yes cellular unknown,no
blue-collar single secondary no no cellular failure,no
student single secondary no no telephone unknown,yes
technician single secondary no yes cellular unknown,yes
services married secondary yes no cellular unknown,no
admin. single secondary no yes cellular unknown,no
blue-collar married primary no no cellular unknown,no
management divorced tertiary no no unknown unknown,no
admin. divorced secondary yes no cellular unknown,no
blue-collar married primary no no cellular unknown,no
